JOBID;JOBNAME;JOBGROUP;LEVEL;DOMAIN;PRE_VALIDATION_JOB_NAME;POST_VALIDATION_JOB_NAME
J01;analytics-job-files/tb_cl_hrconve_analyticssec;1;1;rule_hr_2;;
J02;analytics-job-files/tb_regional_hremplcntrcttext_analyticssec;2;1;rule_hr_2;;
J03;analytics-job-files/tb_regional_hremplgrouptext_analyticssec;3;1;rule_hr_2;;
J04;analytics-job-files/tb_regional_hremplsgrouptext_analyticssec;4;1;rule_hr_2;;
J05;analytics-job-files/tb_regional_hrgender2text_analyticssec;5;1;rule_hr_2;;
J06;analytics-job-files/tb_regional_hrlsotformtc_analyticssec;6;1;rule_hr_2;;
J07;analytics-job-files/tb_cl_hrmo09_analyticssec;7;2;rule_hr_2;;
J08;analytics-job-files/tb_regional_hrorgunittext_analyticssec;8;2;rule_hr_2;;
J09;analytics-job-files/tb_regional_hrp1000_analyticssec;9;2;rule_hr_2;;
J10;analytics-job-files/tb_regional_hrp1001_analyticssec;10;2;rule_hr_2;;
J11;analytics-job-files/tb_regional_hrp1002_analyticssec;11;2;rule_hr_2;;
J12;analytics-job-files/tb_regional_hrp1008_analyticssec;12;2;rule_hr_2;;
J13;analytics-job-files/tb_regional_hrp1025_analyticssec;13;3;rule_hr_2;;
J14;analytics-job-files/tb_regional_hrp1042_analyticssec;14;3;rule_hr_2;;
J15;analytics-job-files/tb_regional_hrp1051_analyticssec;15;3;rule_hr_2;;
J16;analytics-job-files/tb_regional_hrp5007_analyticssec;16;3;rule_hr_2;;
J17;analytics-job-files/tb_regional_hrp9911_analyticssec;17;3;rule_hr_2;;
J18;analytics-job-files/tb_regional_hrpa0003_analyticssec;18;3;rule_hr_2;;
J19;analytics-job-files/tb_regional_hrpa0006_analyticssec;19;4;rule_hr_2;;
