JOBID;JOBNAME;JOBGROUP;LEVEL;DOMAIN;PRE_VALIDATION_JOB_NAME;POST_VALIDATION_JOB_NAME
J01;analytics-job-files/tb_regional_hrpa0000_analyticssec;1;1;rule_hr_1;;
J02;analytics-job-files/tb_regional_hrpa0001_analyticssec;2;1;rule_hr_1;;
J03;analytics-job-files/tb_regional_hrpa0002_analyticssec;3;1;rule_hr_1;;
J04;analytics-job-files/tb_regional_hrpa0004_analyticssec;4;1;rule_hr_1;;
J05;analytics-job-files/tb_regional_hrpa0007_analyticssec;5;1;rule_hr_1;;
J06;analytics-job-files/tb_regional_hrpa0016_analyticssec;6;1;rule_hr_1;;
J07;analytics-job-files/tb_regional_hrpa0041_analyticssec;7;2;rule_hr_1;;
J08;analytics-job-files/tb_regional_hrpa0105_analyticssec;8;2;rule_hr_1;;
J09;analytics-job-files/tb_regional_hrpa0185_analyticssec;9;2;rule_hr_1;;
J10;analytics-job-files/tb_regional_hrpa0394_analyticssec;10;2;rule_hr_1;;
J11;analytics-job-files/tb_regional_hrpa0465_analyticssec;11;2;rule_hr_1;;
J12;analytics-job-files/tb_regional_job_2_text;12;2;rule_hr_1;;
J13;analytics-job-files/tb_regional_employee_attr_analyticssec;13;3;rule_hr_1;;
J14;analytics-job-files/tb_regional_employee_text_analyticssec;14;3;rule_hr_1;;
J15;analytics-job-files/tb_regional_hr_dota_bp_analyticssec;15;3;rule_hr_1;;
J16;analytics-job-files/tb_regional_hr_est_gral_analyticssec;16;3;rule_hr_1;;
J17;analytics-job-files/tb_regional_hr_est_terceros_analyticssec;17;3;rule_hr_1;;
J18;analytics-job-files/tb_regional_hr_rel_cargos_analyticssec;18;3;rule_hr_1;;
J19;analytics-job-files/tb_regional_hractionreas2text_analyticssec;19;4;rule_hr_1;;
